FDOY (MST), Ozone 49C (ppbv), Ozone PA (ppbv),Temp C
26.6904,38.64,49.425,6.111111111
26.6974,37,54.075,5.555555556
26.7043,34.38,49.8,5.555555556
26.7113,36.08,50.475,5.555555556
26.7182,34.29,50.1,5.555555556
26.7252,36.48,49.575,5
26.7321,29.37,42.9,5
26.7391,25.82,37.05,5
26.746,31.5,40.575,5
26.7529,30.21,41.4,5
26.7599,31.22,36.15,3.888888889
26.7668,25.03,28.425,3.888888889
26.7738,17.76,22.5,3.333333333
26.7807,18.6,21.075,3.333333333
26.7877,14.44,14.4,3.333333333
26.7946,11.43,18.75,2.777777778
26.8016,18.04,16.575,2.777777778
26.8085,9.747,11.925,2.777777778
26.8154,12.86,15.375,2.222222222
26.8224,15.05,13.575,2.222222222
26.8293,10.84,10.575,2.222222222
26.8363,11.28,16.725,1.666666667
26.8432,15.65,14.85,1.666666667
26.8502,12.42,9.075,2.222222222
26.8571,6.955,4.95,1.666666667
26.8641,9.699,7.275,2.222222222
26.871,7.464,3.15,2.222222222
26.8779,5.591,2.7,1.666666667
26.8849,9.718,18.3,1.111111111
26.8918,17.27,14.475,1.111111111
26.8988,7.483,11.775,1.111111111
26.9057,13.48,17.475,0.555555556
26.9127,16.37,21.15,0.555555556
26.9196,16.35,22.275,0
26.9266,20.82,26.625,0
26.9335,23.42,35.1,-0.555555556
26.9404,26.45,33.225,-0.555555556
26.9474,22.5,29.4,-0.555555556
26.9543,26.82,30.075,0
26.9613,18.71,21.3,0
26.9682,16.32,31.95,-0.555555556
26.9752,26.56,36.9,-0.555555556
26.9821,27.18,35.25,-0.555555556
26.9891,23.24,30.225,0
26.996,24.09,25.425,-0.555555556
27.0029,14.27,16.275,-0.555555556
27.0099,18.9,21.525,-0.555555556
27.0168,19.09,21.825,-0.555555556
27.0238,20.52,25.125,-0.555555556
27.0307,22.37,27.075,-1.111111111
27.0377,24.45,32.625,-1.111111111
27.0446,24.31,31.2,-1.111111111
27.0516,20.81,25.65,-1.111111111
27.0585,21.18,26.4,-1.111111111
27.0654,23.31,30.675,-1.111111111
27.0724,21.82,25.8,-1.111111111
27.0793,22.55,29.55,-1.111111111
27.0863,23.29,28.575,-1.111111111
27.0932,18.88,24.375,-1.111111111
27.1002,19.98,27.75,-1.111111111
27.1071,24.03,33.075,-1.111111111
27.1141,25.34,30,-1.111111111
27.121,25.7,30.225,-1.666666667
27.1279,20.6,22.125,-1.111111111
27.1349,22.14,39.3,-1.666666667
27.1418,33.87,47.325,-2.222222222
27.1488,29.55,40.95,-2.777777778
27.1557,27.38,39.375,-2.777777778
27.1627,28.9,39.75,-2.222222222
27.1766,24.28,40.0312,-2.222222222
27.1835,32.48,44.625,-2.222222222
27.1904,30.15,43.05,-2.222222222
27.1974,29.92,38.85,-2.222222222
27.2043,27.55,34.5,-2.222222222
27.2113,18.57,23.925,-2.222222222
27.2182,18.08,28.05,-2.777777778
27.2252,29.37,43.575,-3.333333333
27.2321,31.46,42.15,-3.333333333
27.2391,30.28,41.175,-2.777777778
27.246,29.78,37.125,-2.777777778
27.2529,23.12,31.2,-2.777777778
27.2599,22.6,36.15,-2.222222222
